date,aapl_close,msft_close,googl_close,fb_close,amzn_close,tsla_close
2022-01-03,182.01,334.75,2899.83,338.54,3408.09,1199.78
2022-01-04,179.7,329.01,2887.99,336.53,3350.44,1149.59
2022-01-05,174.92,316.38,2755.5,324.17,3287.14,1088.12
2022-01-06,172.0,313.88,2754.95,332.46,3265.08,1064.7
2022-01-07,172.17,314.04,2740.34,331.79,3251.08,1026.96
2022-01-10,172.19,314.27,2773.39,328.07,3229.72,1058.12
2022-01-11,175.08,314.98,2794.72,334.37,3307.24,1064.4
2022-01-12,175.53,318.27,2828.61,333.26,3304.14,1106.22
2022-01-13,172.19,304.8,2771.74,326.48,3224.28,1031.56
2022-01-14,173.07,310.2,2789.61,331.9,3242.76,1049.61
2022-01-18,169.8,302.65,2719.96,318.15,3178.35,1030.51
2022-01-19,166.23,303.33,2702.33,319.59,3125.98,995.65
2022-01-20,164.51,301.6,2666.15,316.56,3033.35,996.27
2022-01-21,162.41,296.03,2607.03,303.17,2852.86,943.9
2022-01-24,161.62,296.37,2616.08,308.71,2890.88,930.0
2022-01-25,159.78,288.49,2538.7,300.15,2799.72,918.4
2022-01-26,159.69,296.71,2584.66,294.63,2777.45,937.41
2022-01-27,159.22,299.84,2580.1,294.64,2792.75,829.1
2022-01-28,170.33,308.26,2667.02,301.71,2879.56,846.35
2022-01-31,174.78,310.98,2706.07,313.26,2991.47,936.72
2022-02-01,174.61,308.76,2752.88,319.0,3023.87,931.25
2022-02-02,175.84,313.46,2960.0,323.0,3012.25,905.66
2022-02-03,172.9,301.25,2861.8,237.76,2776.91,891.14
2022-02-04,172.39,305.94,2865.86,237.09,3152.79,923.32
2022-02-07,171.66,300.95,2784.02,224.91,3158.71,907.34
2022-02-08,174.83,304.56,2787.98,220.18,3228.27,922.0
2022-02-09,176.28,311.21,2831.84,232.0,3223.79,932.0
2022-02-10,172.12,302.38,2772.4,228.07,3180.07,904.55
2022-02-11,168.64,295.04,2685.65,219.55,3065.87,860.0
2022-02-14,168.88,295.0,2710.52,217.7,3103.34,875.76
